year,planted_acres,harvested_acres,yield,production,stocks,imports,total_supply,all_domestic_use,exports,total_use,end_stocks,corn_price,soy_price,soy_corn_price_ratio,gdp_def
1973,72253,62143,91.32045089,5671,708,1,6380,4653,1243,5896,484,2.55,5.68,2.22745098,25.061
1974,77935,65405,71.88073394,4701,484,2,5187,3677,1149,4826,361,3.02,6.64,2.198675497,27.323
1975,78583,67505,86.40532544,5841,558,2,6401,4103,1664,5767,634,2.54,4.92,1.937007874,29.841
1976,84374,71300,87.95804196,6289,633,2,6924,4144,1645,5789,1135,2.15,6.81,3.16744186,31.488
1977,84328,71614,90.85195531,6505,1136,2,7643,4311,1896,6207,1436,2.05,5.88,2.868292683,33.44
1978,81675,71930,101.0848401,7268,1436,1,8705,4882,2113,6995,1710,2.25,6.66,2.96,35.785
1979,81394,72400,109.5027624,7928,1710,1,9639,5203,2402,7605,2034,2.48,6.28,2.532258065,38.767
1980,84043,72961,90.94520548,6639,2035,1,8675,4891,2391,7282,1393,3.12,7.57,2.426282051,42.274
1981,84097,74524,108.9798658,8119,1392,1,9512,4978,1997,6975,2537,2.47,6.07,2.457489879,46.274
1982,81857,72719,113.2737276,8235,2537,1,10773,5428,1821,7249,3524,2.55,5.71,2.239215686,49.132
1983,60217,51479,81.04854369,4174,3523,2,7699,4806,1886,6692,1007,3.21,7.83,2.439252336,51.045
1984,80617,71897,106.7037552,7672,1006,2,8680,5182,1850,7032,1648,2.63,5.84,2.220532319,52.892
1985,83398,75209,118.018617,8875,1648,10,10533,5267,1227,6494,4039,2.23,5.05,2.264573991,54.567
1986,76580,68907,119.3748676,8225.764,4040,2,12267.764,5893,1492,7385,4882.764,1.5,4.78,3.186666667,55.668
1987,66200,59505,119.8437106,7131.3,4882,3,12016.3,6041,1716,7757,4259.3,1.94,5.88,3.030927835,57.04
1988,67717,58250,84.61254936,4928.681,4259,3,9190.681,5234,2026,7260,1930.681,2.54,7.42,2.921259843,59.051
1989,72322,64783,116.264344,7531.953,1930,2,9463.953,5745,2368,8113,1350.953,2.36,5.69,2.411016949,61.37
1990,74166,66952,118.5032262,7934.028,1344,3,9281.028,6036,1725,7761,1520.028,2.28,5.74,2.51754386,63.672
1991,75957,68822,108.6101101,7474.765,1521,20,9015.765,6332,1584,7916,1099.765,2.37,5.58,2.35443038,65.822
1992,79311,72077,131.4801948,9476.698,1100,7,10583.698,6812,1663,8475,2108.698,2.07,5.56,2.685990338,67.32
1993,73235,62921,100.70517,6336.47,2113,21,8470.47,6292,1328,7620,850.47,2.5,6.4,2.56,68.916
1994,79175,72887,138.608188,10102.735,850,9.56,10962.295,7227,2177,9404,1558.295,2.26,5.48,2.424778761,70.387
1995,71245,64995,113.4529733,7373.876,1558.295,16,8948.171,6294,2228,8522,426.171,3.24,6.72,2.074074074,71.865
1996,79200,72600,127.1763085,9233,426,13,9672,6994,1795,8789,883,2.71,7.35,2.712177122,73.179
1997,79537,72700,126.6437414,9207,883,9,10099,7287,1504,8791,1308,2.43,6.47,2.66255144,74.442
1998,80187,72600,134.415978,9758.6,1308,19,11085.6,7317,1981,9298,1787.6,1.94,4.93,2.541237113,75.279
1999,77400,70500,133.7730496,9431,1787.6,14.5,11233.1,7578,1937,9515,1718.1,1.82,4.63,2.543956044,76.366
2000,79551,72440,136.871894,9915,1718.1,7,11640.1,7799,1941,9740,1900.1,1.85,4.54,2.454054054,78.073
2001,75800,68808,138.1670736,9507,1900.1,10,11417.1,7924,1905,9829,1588.1,1.97,4.38,2.223350254,79.79
2002,78900,69313,129.3696709,8967,1596,14,10577,7903,1588,9491,1086,2.32,5.53,2.38362069,81.051
2003,78600,70900,142.2990127,10089,1087,14,11190,8332,1900,10232,958,2.42,7.34,3.033057851,82.551
2004,80900,73600,160.4211957,11807,958,11,12776,8848,1814,10662,2114,2.06,5.74,2.786407767,84.773
2005,81800,75100,147.9893475,11114,2114,9,13237,9122,2147,11269,1968,2,5.66,2.83,87.415
2006,78327,70648,149.1195788,10535,1967,12,12514,9085,2125,11210,1304,3.04,6.43,2.115131579,90.064
2007,93600,86500,151.1445087,13074,1304,20,14398,10277,2436,12713,1685,4.2,10.15,2.416666667,92.483
2008,86000,78630,153.7835432,12092,1624,14,13729,10198,1858,12056,1673,4.08,9.97,2.443627451,94.289
2009,86400,79500,164.6792453,13092,1673,8,14773,11086,1980,13066,1708,3.55,9.59,2.701408451,95.003
2010,88200,81400,152.8,12447,1708,28,14183,11221,1834,13055,1128,5.18,11.3,2.181467181,96.107
2011,91900,83970,147.17,12360,1128,29,13517,10985,1543,12528,989,6.22,12.5,2.009646302,98.115
2012,97300,87360,123.11,10754.8896,989,160,11903.8896,10353,730,11083,820.8896,6.89,14.4,2.089985486,99.999
2013,95400,87470,158.1,13829.007,820.8896,36,14685.8966,11534,1920,13454,1231.8966,4.46,13,2.914798206,101.751
2014,90600,83120,171.02,14215.1824,1231.8966,32,15479.079,11881,1867,13748,1731,3.7,10.1,2.72972973,103.632
2015,88000,80800,168.449,13602,1731,68,15401,11763,1901,13664,1737,3.61,8.95,2.479224377,104.623
2016,94000,86740,174.64,15148.2736,1737,57,16942.2736,12355,2294,14649,2293.2736,3.36,9.47,2.818452381,105.719
2017,90200,82700,176.6,14609,2293,36,16939,12361,2438,14798,2140,3.36,9.33,2.776785714,107.705
2018,88900,81300,176.4,14340,2140,28,16509,12222,2066,14288,2221,3.61,8.55,2.368421053,110.292
2019,89700,81300,167.4,13617,2221,45,15883,11860,1775,13635,2248,3.6,8.1,2.25,112.262
